pointx_0, pointy_0,
72,183,
72,183,
72,183,
72,183,
72,183,
72,184,
73,184,
73,184,
73,184,
73,184,
73,184,
73,184,
74,183,
74,183,
75,184,
75,184,
76,183,
77,184,
78,184,
79,184,
80,184,
81,184,
82,183,
84,184,
85,184,
87,184,
89,184,
90,184,
93,184,
95,184,
97,184,
100,184,
103,184,
106,184,
109,184,
112,183,
116,183,
120,184,
124,184,
128,183,
132,184,
137,184,
142,184,
148,184,
154,185,
160,185,
166,186,
172,186,
179,187,
186,188,
193,189,
201,190,
208,191,
216,192,
223,193,
231,194,
238,196,
246,197,
253,198,
261,200,
268,201,
276,203,
283,205,
290,206,
297,208,
304,210,
310,212,
317,213,
323,215,
328,217,
334,219,
339,221,
343,224,
347,226,
351,228,
354,230,
357,232,
359,234,
360,237,
361,239,
362,241,
362,244,
363,246,
364,248,
364,251,
365,253,
365,255,
366,258,
366,260,
367,263,
367,265,
367,267,
367,270,
368,272,
368,275,
368,277,
368,279,
368,281,
367,284,
367,286,
366,288,
366,290,
365,292,
364,294,
363,297,
361,299,
360,301,
358,302,
356,304,
354,306,
352,307,
349,309,
346,310,
343,312,
340,313,
336,314,
332,315,
327,316,
323,317,
317,317,
312,318,
306,318,
300,318,
293,318,
287,317,
280,316,
272,315,
264,314,
256,312,
248,311,
240,309,
231,307,
223,305,
214,302,
204,300,
195,297,
186,294,
177,291,
167,288,
158,285,
149,282,
139,279,
130,276,
121,273,
112,270,
103,266,
95,263,
86,260,
78,258,
70,255,
63,252,
56,250,
49,247,
43,245,
38,244,
33,242,
29,241,
26,240,
25,239,
23,239,
23,239,
23,239,
23,239,
24,239,
25,239,
26,239,
28,239,
31,239,
34,239,
39,239,
45,239,
51,239,
57,239,
64,239,
72,239,
79,239,
87,239,
96,239,
104,239,
113,239,
122,239,
130,239,
140,239,
148,239,
157,239,
166,239,
174,239,
182,239,
190,239,
198,239,
205,239,
211,239,
217,239,
223,239,
227,239,
231,239,
235,239,
237,239,
239,239,
239,239,
239,239,
237,239,
235,239,
232,239,
228,239,
224,239,
220,239,
216,239,
212,239,
207,239,
203,239,
199,239,
195,239,
191,239,
187,239,
184,239,
181,239,
178,239,
175,239,
172,239,
170,239,
168,239,
165,239,
164,239,
162,239,
160,239,
159,239,
157,239,
156,239,
155,239,
154,239,
153,239,
152,239,
152,239,
151,239,
151,239,
151,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
150,239,
